best epoch, train loss, train mae, valid loss, valid mae, test loss, test mae
00000111, 0.09371383, 0.17438355, 0.35883817, 0.47186714, 0.34966040, 0.32815257
00000199, 0.03033592, 0.11219259, 0.30605996, 0.43660253, 0.24641411, 0.28723007
00000118, 0.10780016, 0.18602490, 0.36388236, 0.47987550, 0.36065903, 0.35491404
00000193, 0.05782115, 0.13738024, 0.32288331, 0.44508278, 0.26977429, 0.29294565
00000129, 0.11143851, 0.18957067, 0.21154423, 0.35645795, 0.02415444, 0.11004674
00000191, 0.04880541, 0.13124001, 0.14599712, 0.29317701, 0.02405216, 0.12943572
00000168, 0.08543147, 0.15741612, 0.20907153, 0.36349678, 0.02444863, 0.13073051
00000199, 0.05250124, 0.13181700, 0.24771862, 0.38092887, 0.25131091, 0.27480692
00000196, 0.05665426, 0.13283594, 0.27450147, 0.40596598, 0.31086805, 0.31711373
00000199, 0.05670045, 0.13930464, 0.28682712, 0.41568938, 0.34455809, 0.33586133
00000199, 0.04981098, 0.12063686, 0.26628774, 0.39712620, 0.30715886, 0.29415914
00000140, 0.07765016, 0.16194534, 0.31813312, 0.44219995, 0.37127230, 0.34725800
00000181, 0.05043646, 0.11971790, 0.14452699, 0.29244500, 0.21770050, 0.29091364
00000182, 0.05115274, 0.12441440, 0.20736021, 0.36439377, 0.13155876, 0.24587351
00000199, 0.23847216, 0.26819849, 0.28961772, 0.46233740, 0.20950507, 0.38125923
00000199, 0.18483251, 0.28487608, 0.30925179, 0.48966131, 0.26119331, 0.42830983
00000123, 0.09112985, 0.16970523, 0.28551638, 0.40468764, 0.33551705, 0.32761419
00000199, 0.04853575, 0.12174515, 0.27178305, 0.39860213, 0.24736543, 0.28717455
00000159, 0.06562072, 0.13531624, 0.12928781, 0.26992807, 0.21075819, 0.27897882
00000188, 0.02920840, 0.10521169, 0.13306592, 0.27429667, 0.16180803, 0.24426305
00000118, 0.08079654, 0.15550953, 0.18724221, 0.31413764, 0.22262049, 0.29194605
00000001, 0.77675706, 0.62603670, nan, nan, nan, nan
00000001, 1.06152177, 0.75301230, nan, nan, nan, nan
00000199, 0.05265762, 0.13252535, 0.54207921, 0.67865443, 0.72174174, 0.82888871
00000199, 0.04594166, 0.12741970, 0.38112646, 0.55776989, 0.98710924, 0.97513527
00000199, 0.03841185, 0.11378838, 0.54790109, 0.62546796, 1.02398050, 0.99927473
00000199, 0.04123879, 0.11957074, 0.60210735, 0.65810776, 1.30262518, 1.13186812
00000199, 0.05366062, 0.13748519, 0.84144342, 0.84937096, 0.91107917, 0.93827724
00000199, 0.04417197, 0.12411018, 0.38506991, 0.54069901, 0.66869456, 0.80810171
00000199, 0.04810984, 0.12590322, 0.50704449, 0.63117588, 1.49034679, 1.20581579
00000199, 0.04583924, 0.12699464, 0.56498706, 0.65040541, 1.17091012, 1.07422256
00000199, 0.06067942, 0.12831502, 0.38125163, 0.48866218, 0.35821447, 0.34210178
00000199, 0.06791125, 0.14802487, 0.39583135, 0.51117325, 0.32808092, 0.33942726
00000198, 0.05363207, 0.13383266, 0.28437665, 0.40259010, 0.33178815, 0.31892475
